seqnames	start	end	width	gene	Reads	Background	ReadsPerMb	Library
chr9	130780918	130821716	40799	BLM	364242	2.00%	47	blm-1-single-c5-w21-3d6_S121_
chr10	64265231	64303808	38578	BLM	364242	2.00%	47	blm-1-single-c5-w21-3d6_S121_
chr11	125122021	125123905	1885	BLM	364242	2.00%	47	blm-1-single-c5-w21-3d6_S121_
chr12	65506315	65887983	381669	BLM	364242	2.00%	47	blm-1-single-c5-w21-3d6_S121_
chr13	62091562	62230004	138443	BLM	364242	2.00%	47	blm-1-single-c5-w21-3d6_S121_
chr15	60811849	60881231	69383	BLM	364242	2.00%	47	blm-1-single-c5-w21-3d6_S121_
chr15	72628909	72686244	57336	BLM	364242	2.00%	47	blm-1-single-c5-w21-3d6_S121_
chr15	74033644	74142128	108485	BLM	364242	2.00%	47	blm-1-single-c5-w21-3d6_S121_
chr15	89348671	89351731	3061	BLM	364242	2.00%	47	blm-1-single-c5-w21-3d6_S121_
chr21	14950809	15037475	86667	BLM	364242	2.00%	47	blm-1-single-c5-w21-3d6_S121_
chr22	23274206	23302027	27822	BLM	364242	2.00%	47	blm-1-single-c5-w21-3d6_S121_
chr1	241586463	241670905	84443	BLM	360040	2.20%	45	blm-1-single-c5-w22-3d6_S122_
chr8	71974246	72096346	122101	BLM	360040	2.20%	45	blm-1-single-c5-w22-3d6_S122_
chr9	68375679	69352665	976987	BLM	360040	2.20%	45	blm-1-single-c5-w22-3d6_S122_
chr11	75346689	75380917	34229	BLM	360040	2.20%	45	blm-1-single-c5-w22-3d6_S122_
chr11	84430265	84434386	4122	BLM	360040	2.20%	45	blm-1-single-c5-w22-3d6_S122_
chr15	60706920	60815327	108408	BLM	360040	2.20%	45	blm-1-single-c5-w22-3d6_S122_
chr15	89269960	89277502	7543	BLM	360040	2.20%	45	blm-1-single-c5-w22-3d6_S122_
chr21	15646017	15671316	25300	BLM	360040	2.20%	45	blm-1-single-c5-w22-3d6_S122_
chr15	71768760	72067492	298733	BLM	194430	2.80%	24	blm-1-single-c5-w23-3d6_S123_
chr15	74169093	74337532	168440	BLM	194430	2.80%	24	blm-1-single-c5-w23-3d6_S123_
chr1	116493273	117904617	1411345	BLM	163674	2.30%	21	blm-1-single-c5-w24-3d6_S124_
chr2	104002799	104060461	57663	BLM	163674	2.30%	21	blm-1-single-c5-w24-3d6_S124_
chr4	181652713	181808541	155829	BLM	163674	2.30%	21	blm-1-single-c5-w24-3d6_S124_
chr7	19251828	19423236	171409	BLM	163674	2.30%	21	blm-1-single-c5-w24-3d6_S124_
chr9	130772369	130875377	103009	BLM	163674	2.30%	21	blm-1-single-c5-w24-3d6_S124_
chr11	125069947	125086343	16397	BLM	163674	2.30%	21	blm-1-single-c5-w24-3d6_S124_
chr12	105239892	105287766	47875	BLM	163674	2.30%	21	blm-1-single-c5-w24-3d6_S124_
chr13	94811543	94855662	44120	BLM	163674	2.30%	21	blm-1-single-c5-w24-3d6_S124_
chr6	30663890	30681125	17236	BLM	241900	2.30%	30	blm-1-single-c5-w26-3d6_S126_
chr8	77041154	77146277	105124	BLM	241900	2.30%	30	blm-1-single-c5-w26-3d6_S126_
chr11	44355111	44425962	70852	BLM	241900	2.30%	30	blm-1-single-c5-w26-3d6_S126_
chr15	72251685	72718796	467112	BLM	241900	2.30%	30	blm-1-single-c5-w26-3d6_S126_
chr15	74062805	74185770	122966	BLM	241900	2.30%	30	blm-1-single-c5-w26-3d6_S126_
chr18	5967012	5989122	22111	BLM	241900	2.30%	30	blm-1-single-c5-w26-3d6_S126_
chr19	3592675	3615202	22528	BLM	241900	2.30%	30	blm-1-single-c5-w26-3d6_S126_
chr19	24309469	24342739	33271	BLM	241900	2.30%	30	blm-1-single-c5-w26-3d6_S126_
chrX	134401753	134446718	44966	BLM	241900	2.30%	30	blm-1-single-c5-w26-3d6_S126_
chr7	26121947	26261566	139620	BLM	251372	7.90%	28	blm-1-single-c5-w30-3d6_S130_
chr8	70752690	70926249	173560	BLM	251372	7.90%	28	blm-1-single-c5-w30-3d6_S130_
chr9	130780494	130855757	75264	BLM	251372	7.90%	28	blm-1-single-c5-w30-3d6_S130_
chr10	63368822	63444973	76152	BLM	251372	7.90%	28	blm-1-single-c5-w30-3d6_S130_
chr10	94469581	94589868	120288	BLM	251372	7.90%	28	blm-1-single-c5-w30-3d6_S130_
chr12	113217628	113240947	23320	BLM	251372	7.90%	28	blm-1-single-c5-w30-3d6_S130_
chr15	40542551	40564644	22094	BLM	251372	7.90%	28	blm-1-single-c5-w30-3d6_S130_
chr16	78641586	78815753	174168	BLM	251372	7.90%	28	blm-1-single-c5-w30-3d6_S130_
chr22	23281242	23293343	12102	BLM	251372	7.90%	28	blm-1-single-c5-w30-3d6_S130_
chr1	58208988	58232076	23089	BLM	353484	3.90%	43	blm-1-single-c5-w31-3d6_S131_
chr4	34465983	34493530	27548	BLM	353484	3.90%	43	blm-1-single-c5-w31-3d6_S131_
chr6	136130141	136206753	76613	BLM	353484	3.90%	43	blm-1-single-c5-w31-3d6_S131_
chr7	70230501	70260945	30445	BLM	353484	3.90%	43	blm-1-single-c5-w31-3d6_S131_
chr8	77397212	77434111	36900	BLM	353484	3.90%	43	blm-1-single-c5-w31-3d6_S131_
chr11	107401279	107465563	64285	BLM	353484	3.90%	43	blm-1-single-c5-w31-3d6_S131_
chr15	60876362	60883987	7626	BLM	353484	3.90%	43	blm-1-single-c5-w31-3d6_S131_
chr15	72624593	72628719	4127	BLM	353484	3.90%	43	blm-1-single-c5-w31-3d6_S131_
chr15	74115399	74115655	257	BLM	353484	3.90%	43	blm-1-single-c5-w31-3d6_S131_
chr21	14796790	14827907	31118	BLM	353484	3.90%	43	blm-1-single-c5-w31-3d6_S131_
chr1	93073467	93090188	16722	BLM	365352	2.00%	47	blm-1-single-c5-w34-3d6_S134_
chr4	19615682	19685850	70169	BLM	365352	2.00%	47	blm-1-single-c5-w34-3d6_S134_
chr4	177662298	177718918	56621	BLM	365352	2.00%	47	blm-1-single-c5-w34-3d6_S134_
chr7	152462183	152463930	1748	BLM	365352	2.00%	47	blm-1-single-c5-w34-3d6_S134_
chr8	83515372	83691653	176282	BLM	365352	2.00%	47	blm-1-single-c5-w34-3d6_S134_
chr9	130798966	130833754	34789	BLM	365352	2.00%	47	blm-1-single-c5-w34-3d6_S134_
chr10	5117770	5186304	68535	BLM	365352	2.00%	47	blm-1-single-c5-w34-3d6_S134_
chr14	76720621	76741538	20918	BLM	365352	2.00%	47	blm-1-single-c5-w34-3d6_S134_
chr14	96734989	96763861	28873	BLM	365352	2.00%	47	blm-1-single-c5-w34-3d6_S134_
chr15	60732375	60814578	82204	BLM	365352	2.00%	47	blm-1-single-c5-w34-3d6_S134_
chr15	72610275	72612937	2663	BLM	365352	2.00%	47	blm-1-single-c5-w34-3d6_S134_
chr15	74026739	74064665	37927	BLM	365352	2.00%	47	blm-1-single-c5-w34-3d6_S134_
chr15	89254798	89261324	6527	BLM	365352	2.00%	47	blm-1-single-c5-w34-3d6_S134_
chr17	79775865	79796905	21041	BLM	365352	2.00%	47	blm-1-single-c5-w34-3d6_S134_
chr21	15193993	15212845	18853	BLM	365352	2.00%	47	blm-1-single-c5-w34-3d6_S134_
chr22	23284141	23296458	12318	BLM	365352	2.00%	47	blm-1-single-c5-w34-3d6_S134_
chrX	128929824	128969575	39752	BLM	365352	2.00%	47	blm-1-single-c5-w34-3d6_S134_
chr1	224956633	224973249	16617	BLM	636220	1.60%	83	blm-1-single-c5-w36-3d6_S136_
chr8	7153437	7293897	140461	BLM	636220	1.60%	83	blm-1-single-c5-w36-3d6_S136_
chr8	8194728	8494856	300129	BLM	636220	1.60%	83	blm-1-single-c5-w36-3d6_S136_
chr9	130805913	130821047	15135	BLM	636220	1.60%	83	blm-1-single-c5-w36-3d6_S136_
chr10	50420445	50438378	17934	BLM	636220	1.60%	83	blm-1-single-c5-w36-3d6_S136_
chr15	72630728	72670970	40243	BLM	636220	1.60%	83	blm-1-single-c5-w36-3d6_S136_
chr15	74025757	74039425	13669	BLM	636220	1.60%	83	blm-1-single-c5-w36-3d6_S136_
chr22	23285306	23292104	6799	BLM	636220	1.60%	83	blm-1-single-c5-w36-3d6_S136_
chr22	25326611	25335883	9273	BLM	636220	1.60%	83	blm-1-single-c5-w36-3d6_S136_
chrX	103664368	103994244	329877	BLM	636220	1.60%	83	blm-1-single-c5-w36-3d6_S136_
chrX	104045623	104329702	284080	BLM	636220	1.60%	83	blm-1-single-c5-w36-3d6_S136_
chr1	116902305	117582410	680106	BLM	142448	2.50%	18	blm-1-single-c5-w41-3d6_S141_
chr2	14290627	14474346	183720	BLM	142448	2.50%	18	blm-1-single-c5-w41-3d6_S141_
chr8	76996129	77000122	3994	BLM	142448	2.50%	18	blm-1-single-c5-w41-3d6_S141_
chr11	107476404	107490893	14490	BLM	142448	2.50%	18	blm-1-single-c5-w41-3d6_S141_
chr1	40722003	40738117	16115	BLM	472244	1.60%	62	blm-1-single-c5-w42-3d6_S142_
chr1	116472718	116497802	25085	BLM	472244	1.60%	62	blm-1-single-c5-w42-3d6_S142_
chr2	231352464	231358145	5682	BLM	472244	1.60%	62	blm-1-single-c5-w42-3d6_S142_
chr3	159026280	159063520	37241	BLM	472244	1.60%	62	blm-1-single-c5-w42-3d6_S142_
chr3	184272309	184286308	14000	BLM	472244	1.60%	62	blm-1-single-c5-w42-3d6_S142_
chr4	104579239	104617498	38260	BLM	472244	1.60%	62	blm-1-single-c5-w42-3d6_S142_
chr5	174299698	174316698	17001	BLM	472244	1.60%	62	blm-1-single-c5-w42-3d6_S142_
chr6	168361664	168367371	5708	BLM	472244	1.60%	62	blm-1-single-c5-w42-3d6_S142_
chr8	75946076	76229802	283727	BLM	472244	1.60%	62	blm-1-single-c5-w42-3d6_S142_
chr8	78553679	78778658	224980	BLM	472244	1.60%	62	blm-1-single-c5-w42-3d6_S142_
chr9	130790128	130806881	16754	BLM	472244	1.60%	62	blm-1-single-c5-w42-3d6_S142_
chr11	107425673	107465943	40271	BLM	472244	1.60%	62	blm-1-single-c5-w42-3d6_S142_
chr11	131227014	131261882	34869	BLM	472244	1.60%	62	blm-1-single-c5-w42-3d6_S142_
chr14	45134194	45144702	10509	BLM	472244	1.60%	62	blm-1-single-c5-w42-3d6_S142_
chr15	72627446	72679093	51648	BLM	472244	1.60%	62	blm-1-single-c5-w42-3d6_S142_
chr15	74050490	74071010	20521	BLM	472244	1.60%	62	blm-1-single-c5-w42-3d6_S142_
chr18	30115571	30143031	27461	BLM	472244	1.60%	62	blm-1-single-c5-w42-3d6_S142_
chr22	23289204	23300087	10884	BLM	472244	1.60%	62	blm-1-single-c5-w42-3d6_S142_
chr1	26424066	26468516	44451	BLM	342436	2.70%	44	blm-1-single-c5-w43-3d6_S143_
chr1	40708446	40726667	18222	BLM	342436	2.70%	44	blm-1-single-c5-w43-3d6_S143_
chr4	122038859	122055436	16578	BLM	342436	2.70%	44	blm-1-single-c5-w43-3d6_S143_
chr4	184474318	184474447	130	BLM	342436	2.70%	44	blm-1-single-c5-w43-3d6_S143_
chr5	127874057	127889744	15688	BLM	342436	2.70%	44	blm-1-single-c5-w43-3d6_S143_
chr6	60985087	60998002	12916	BLM	342436	2.70%	44	blm-1-single-c5-w43-3d6_S143_
chr6	161656572	161679271	22700	BLM	342436	2.70%	44	blm-1-single-c5-w43-3d6_S143_
chr8	71726201	71730494	4294	BLM	342436	2.70%	44	blm-1-single-c5-w43-3d6_S143_
chr11	125075300	125088947	13648	BLM	342436	2.70%	44	blm-1-single-c5-w43-3d6_S143_
chr13	22852255	22897370	45116	BLM	342436	2.70%	44	blm-1-single-c5-w43-3d6_S143_
chr15	72629955	72671049	41095	BLM	342436	2.70%	44	blm-1-single-c5-w43-3d6_S143_
chr15	74064682	74064924	243	BLM	342436	2.70%	44	blm-1-single-c5-w43-3d6_S143_
chr21	23069696	23170769	101074	BLM	342436	2.70%	44	blm-1-single-c5-w43-3d6_S143_
chr22	48151492	48205148	53657	BLM	342436	2.70%	44	blm-1-single-c5-w43-3d6_S143_
chrX	125235143	125297128	61986	BLM	342436	2.70%	44	blm-1-single-c5-w43-3d6_S143_
chr3	153207022	153260620	53599	BLM	382926	2.20%	51	blm-1-single-c5-w45-3d6_S145_
chr9	130745826	130841252	95427	BLM	382926	2.20%	51	blm-1-single-c5-w45-3d6_S145_
chr15	60824614	60878613	54000	BLM	382926	2.20%	51	blm-1-single-c5-w45-3d6_S145_
chr15	72623636	72675071	51436	BLM	382926	2.20%	51	blm-1-single-c5-w45-3d6_S145_
chr15	74111605	74126996	15392	BLM	382926	2.20%	51	blm-1-single-c5-w45-3d6_S145_
chr15	89344516	89352702	8187	BLM	382926	2.20%	51	blm-1-single-c5-w45-3d6_S145_
chr21	14237026	14237567	542	BLM	382926	2.20%	51	blm-1-single-c5-w45-3d6_S145_
chr22	23285676	23291720	6045	BLM	382926	2.20%	51	blm-1-single-c5-w45-3d6_S145_
chrX	88157731	88318908	161178	BLM	382926	2.20%	51	blm-1-single-c5-w45-3d6_S145_
chr1	117951289	118103682	152394	BLM	146862	3.30%	19	blm-1-single-c5-w47-3d6_S147_
chr3	53164823	53228632	63810	BLM	146862	3.30%	19	blm-1-single-c5-w47-3d6_S147_
chr3	162977983	163174102	196120	BLM	146862	3.30%	19	blm-1-single-c5-w47-3d6_S147_
chr6	19056164	19152242	96079	BLM	146862	3.30%	19	blm-1-single-c5-w47-3d6_S147_
chr8	77228146	77379836	151691	BLM	146862	3.30%	19	blm-1-single-c5-w47-3d6_S147_
chr11	107254126	107503635	249510	BLM	146862	3.30%	19	blm-1-single-c5-w47-3d6_S147_
chr15	94543217	94571534	28318	BLM	146862	3.30%	19	blm-1-single-c5-w47-3d6_S147_
chr18	73787173	73843602	56430	BLM	146862	3.30%	19	blm-1-single-c5-w47-3d6_S147_
chr3	82124634	82273540	148907	BLM	218570	2.20%	28	blm-1-single-c5-w5-3d6_S105_
chr5	30439857	30661862	222006	BLM	218570	2.20%	28	blm-1-single-c5-w5-3d6_S105_
chr6	157257444	157273002	15559	BLM	218570	2.20%	28	blm-1-single-c5-w5-3d6_S105_
chr12	89403212	89437956	34745	BLM	218570	2.20%	28	blm-1-single-c5-w5-3d6_S105_
chr14	102059165	102221539	162375	BLM	218570	2.20%	28	blm-1-single-c5-w5-3d6_S105_
chr15	89323229	89370753	47525	BLM	218570	2.20%	28	blm-1-single-c5-w5-3d6_S105_
chr19	35784319	35789521	5203	BLM	218570	2.20%	28	blm-1-single-c5-w5-3d6_S105_
chr3	32611671	32697468	85798	BLM	248500	3.10%	31	blm-1-single-c5-w6-3d6_S106_
chr3	62800125	62886998	86874	BLM	248500	3.10%	31	blm-1-single-c5-w6-3d6_S106_
chr9	130770880	130822905	52026	BLM	248500	3.10%	31	blm-1-single-c5-w6-3d6_S106_
chr10	58221321	58233701	12381	BLM	248500	3.10%	31	blm-1-single-c5-w6-3d6_S106_
chr10	64328666	65029751	701086	BLM	248500	3.10%	31	blm-1-single-c5-w6-3d6_S106_
chr14	103002267	103029353	27087	BLM	248500	3.10%	31	blm-1-single-c5-w6-3d6_S106_
chr15	60727603	60819888	92286	BLM	248500	3.10%	31	blm-1-single-c5-w6-3d6_S106_
chr15	89331830	89356496	24667	BLM	248500	3.10%	31	blm-1-single-c5-w6-3d6_S106_
chr22	23289748	23336415	46668	BLM	248500	3.10%	31	blm-1-single-c5-w6-3d6_S106_
chr3	161891635	161907102	15468	BLM	970442	1.40%	128	blm-1-single-c5-w7-3d6_S107_
chr7	69891135	69906827	15693	BLM	970442	1.40%	128	blm-1-single-c5-w7-3d6_S107_
chr8	87390396	87402412	12017	BLM	970442	1.40%	128	blm-1-single-c5-w7-3d6_S107_
chr11	125053523	125083423	29901	BLM	970442	1.40%	128	blm-1-single-c5-w7-3d6_S107_
chr12	72840126	72848714	8589	BLM	970442	1.40%	128	blm-1-single-c5-w7-3d6_S107_
chr15	60806618	60812752	6135	BLM	970442	1.40%	128	blm-1-single-c5-w7-3d6_S107_
chr15	72609653	72626754	17102	BLM	970442	1.40%	128	blm-1-single-c5-w7-3d6_S107_
chr15	74064506	74106203	41698	BLM	970442	1.40%	128	blm-1-single-c5-w7-3d6_S107_
chr15	89342987	89362106	19120	BLM	970442	1.40%	128	blm-1-single-c5-w7-3d6_S107_
chr16	21327858	21504207	176350	BLM	970442	1.40%	128	blm-1-single-c5-w7-3d6_S107_
chr16	22691263	22719091	27829	BLM	970442	1.40%	128	blm-1-single-c5-w7-3d6_S107_
chr1	118329797	118663669	333873	BLM	272304	2.30%	32	blm-1-single-c9-w19-3d6_S315_
chr3	144539444	144605473	66030	BLM	272304	2.30%	32	blm-1-single-c9-w19-3d6_S315_
chr5	66590968	66694747	103780	BLM	272304	2.30%	32	blm-1-single-c9-w19-3d6_S315_
chr8	77409616	77636968	227353	BLM	272304	2.30%	32	blm-1-single-c9-w19-3d6_S315_
chr9	130795655	130822465	26811	BLM	272304	2.30%	32	blm-1-single-c9-w19-3d6_S315_
chr10	70361105	70429279	68175	BLM	272304	2.30%	32	blm-1-single-c9-w19-3d6_S315_
chr11	107414588	107476368	61781	BLM	272304	2.30%	32	blm-1-single-c9-w19-3d6_S315_
chr13	46682324	46698561	16238	BLM	272304	2.30%	32	blm-1-single-c9-w19-3d6_S315_
chr15	60851371	60854085	2715	BLM	272304	2.30%	32	blm-1-single-c9-w19-3d6_S315_
chr22	23279121	23290540	11420	BLM	272304	2.30%	32	blm-1-single-c9-w19-3d6_S315_
chr9	130785276	130807292	22017	BLM	240102	2.10%	30	blm-1-single-c9-w24-3d6_S320_
chr11	75295365	75333827	38463	BLM	240102	2.10%	30	blm-1-single-c9-w24-3d6_S320_
chr12	22776271	22915149	138879	BLM	240102	2.10%	30	blm-1-single-c9-w24-3d6_S320_
chr15	89236929	89238905	1977	BLM	240102	2.10%	30	blm-1-single-c9-w24-3d6_S320_
chr18	29599690	29717364	117675	BLM	240102	2.10%	30	blm-1-single-c9-w24-3d6_S320_
chr22	23281167	23297723	16557	BLM	240102	2.10%	30	blm-1-single-c9-w24-3d6_S320_
chr2	125912771	125954239	41469	BLM	217828	3.20%	26	blm-1-single-c9-w35-3d6_S331_
chr4	55102021	55161415	59395	BLM	217828	3.20%	26	blm-1-single-c9-w35-3d6_S331_
chr11	107253406	107582826	329421	BLM	217828	3.20%	26	blm-1-single-c9-w35-3d6_S331_
chr13	29632814	29686014	53201	BLM	217828	3.20%	26	blm-1-single-c9-w35-3d6_S331_
chr15	41890772	41985972	95201	BLM	217828	3.20%	26	blm-1-single-c9-w35-3d6_S331_
chr17	21609227	22140894	531668	BLM	217828	3.20%	26	blm-1-single-c9-w35-3d6_S331_
chr18	6496927	6646133	149207	BLM	217828	3.20%	26	blm-1-single-c9-w35-3d6_S331_
chr19	4456910	4487167	30258	BLM	217828	3.20%	26	blm-1-single-c9-w35-3d6_S331_
chr1	110881300	110891404	10105	BLM	169508	4.20%	24	blm-1-single-c9-w43-3d6_S339_
chr3	110715912	110884577	168666	BLM	169508	4.20%	24	blm-1-single-c9-w43-3d6_S339_
chr8	37238848	37330978	92131	BLM	169508	4.20%	24	blm-1-single-c9-w43-3d6_S339_
chr9	77096499	77299653	203155	BLM	169508	4.20%	24	blm-1-single-c9-w43-3d6_S339_
chr10	5963786	5968855	5070	BLM	169508	4.20%	24	blm-1-single-c9-w43-3d6_S339_
chr12	12486288	12595751	109464	BLM	169508	4.20%	24	blm-1-single-c9-w43-3d6_S339_
chr13	42875741	42900214	24474	BLM	169508	4.20%	24	blm-1-single-c9-w43-3d6_S339_
chrX	6301746	6337254	35509	BLM	169508	4.20%	24	blm-1-single-c9-w43-3d6_S339_
chr1	37405492	37447078	41587	BLM	174866	2.90%	23	blm-1-single-c9-w46-3d6_S342_
chr1	226212092	226225618	13527	BLM	174866	2.90%	23	blm-1-single-c9-w46-3d6_S342_
chr3	102040461	102210079	169619	BLM	174866	2.90%	23	blm-1-single-c9-w46-3d6_S342_
chr5	122424456	122442289	17834	BLM	174866	2.90%	23	blm-1-single-c9-w46-3d6_S342_
chr5	174207175	174272264	65090	BLM	174866	2.90%	23	blm-1-single-c9-w46-3d6_S342_
chr6	55880341	55921487	41147	BLM	174866	2.90%	23	blm-1-single-c9-w46-3d6_S342_
chr8	87389506	87459918	70413	BLM	174866	2.90%	23	blm-1-single-c9-w46-3d6_S342_
chr9	130741328	130819048	77721	BLM	174866	2.90%	23	blm-1-single-c9-w46-3d6_S342_
chr11	124885358	125076988	191631	BLM	174866	2.90%	23	blm-1-single-c9-w46-3d6_S342_
chr13	29751532	29752309	778	BLM	174866	2.90%	23	blm-1-single-c9-w46-3d6_S342_
chr14	30695543	30834138	138596	BLM	174866	2.90%	23	blm-1-single-c9-w46-3d6_S342_
chr19	22803435	22891904	88470	BLM	174866	2.90%	23	blm-1-single-c9-w46-3d6_S342_
chr22	23282712	23320254	37543	BLM	174866	2.90%	23	blm-1-single-c9-w46-3d6_S342_
chr7	107758247	107797709	39463	BLM	231016	1.80%	29	blm-1-single-c9-w6-3d6_S302_
chr7	136930102	137030844	100743	BLM	231016	1.80%	29	blm-1-single-c9-w6-3d6_S302_
chr8	86930909	87028276	97368	BLM	231016	1.80%	29	blm-1-single-c9-w6-3d6_S302_
chr9	130791235	130822476	31242	BLM	231016	1.80%	29	blm-1-single-c9-w6-3d6_S302_
chr15	92210161	92251698	41538	BLM	231016	1.80%	29	blm-1-single-c9-w6-3d6_S302_
chr16	20418066	20965291	547226	BLM	231016	1.80%	29	blm-1-single-c9-w6-3d6_S302_
chr16	22659094	22676305	17212	BLM	231016	1.80%	29	blm-1-single-c9-w6-3d6_S302_
chr22	23287488	23295455	7968	BLM	231016	1.80%	29	blm-1-single-c9-w6-3d6_S302_
chr1	196872744	197000722	127979	BLM/RECQL5	100588	1.50%	14	blm-recq5-1-single-c11-w1-3d6_S395_
chr2	70645522	70661703	16182	BLM/RECQL5	100588	1.50%	14	blm-recq5-1-single-c11-w1-3d6_S395_
chr4	38734993	38919955	184963	BLM/RECQL5	100588	1.50%	14	blm-recq5-1-single-c11-w1-3d6_S395_
chr8	13232569	13248045	15477	BLM/RECQL5	100588	1.50%	14	blm-recq5-1-single-c11-w1-3d6_S395_
chr9	104778538	104927230	148693	BLM/RECQL5	100588	1.50%	14	blm-recq5-1-single-c11-w1-3d6_S395_
chr10	108261830	108418796	156967	BLM/RECQL5	100588	1.50%	14	blm-recq5-1-single-c11-w1-3d6_S395_
