seqnames	start	end	width	gene	Reads	Background	Reads_per_Mb	Library
chr1	96982393	97045716	63324	BLM/RECQL5	447460	2.8%	44	blm_recq5-2-single-c15-w24_
chr2	72664850	72947110	282261	BLM/RECQL5	447460	2.8%	44	blm_recq5-2-single-c15-w24_
chr5	167239501	167844867	605367	BLM/RECQL5	447460	2.8%	44	blm_recq5-2-single-c15-w24_
chr8	28800678	28802603	1926	BLM/RECQL5	447460	2.8%	44	blm_recq5-2-single-c15-w24_
chr9	130771878	130823451	51574	BLM/RECQL5	447460	2.8%	44	blm_recq5-2-single-c15-w24_
chr19	22924180	22992181	68002	BLM/RECQL5	447460	2.8%	44	blm_recq5-2-single-c15-w24_
chr22	23268893	23290963	22071	BLM/RECQL5	447460	2.8%	44	blm_recq5-2-single-c15-w24_
chr1	198277847	198298816	20970	BLM/RECQL5	423724	2.4%	44	blm_recq5-2-single-c15-w27_
chr2	200454013	200455819	1807	BLM/RECQL5	423724	2.4%	44	blm_recq5-2-single-c15-w27_
chr7	69986480	70561172	574693	BLM/RECQL5	423724	2.4%	44	blm_recq5-2-single-c15-w27_
chr8	6448242	6450974	2733	BLM/RECQL5	423724	2.4%	44	blm_recq5-2-single-c15-w27_
chr11	130132182	130171480	39299	BLM/RECQL5	423724	2.4%	44	blm_recq5-2-single-c15-w27_
chr13	27266439	27274931	8493	BLM/RECQL5	423724	2.4%	44	blm_recq5-2-single-c15-w27_
chr18	62862121	62904781	42661	BLM/RECQL5	423724	2.4%	44	blm_recq5-2-single-c15-w27_
chr1	246477835	246487142	9308	BLM/RECQL5	1318594	1.8%	141	blm_recq5-2-single-c15-w28_
chr3	10310484	10333802	23319	BLM/RECQL5	1318594	1.8%	141	blm_recq5-2-single-c15-w28_
chr5	174761109	174790904	29796	BLM/RECQL5	1318594	1.8%	141	blm_recq5-2-single-c15-w28_
chr6	105503016	105520285	17270	BLM/RECQL5	1318594	1.8%	141	blm_recq5-2-single-c15-w28_
chr7	135312019	135322590	10572	BLM/RECQL5	1318594	1.8%	141	blm_recq5-2-single-c15-w28_
chr9	130803968	130813561	9594	BLM/RECQL5	1318594	1.8%	141	blm_recq5-2-single-c15-w28_
chr12	74932295	74956405	24111	BLM/RECQL5	1318594	1.8%	141	blm_recq5-2-single-c15-w28_
chr13	74336696	74355824	19129	BLM/RECQL5	1318594	1.8%	141	blm_recq5-2-single-c15-w28_
chr17	44962341	44977673	15333	BLM/RECQL5	1318594	1.8%	141	blm_recq5-2-single-c15-w28_
chr22	23284897	23290618	5722	BLM/RECQL5	1318594	1.8%	141	blm_recq5-2-single-c15-w28_
chr2	207344866	207364826	19961	BLM/RECQL5	381854	2.1%	39	blm_recq5-2-single-c15-w32_
chr8	73993607	74001365	7759	BLM/RECQL5	381854	2.1%	39	blm_recq5-2-single-c15-w32_
chr9	130778851	130849917	71067	BLM/RECQL5	381854	2.1%	39	blm_recq5-2-single-c15-w32_
chr11	78335538	78450927	115390	BLM/RECQL5	381854	2.1%	39	blm_recq5-2-single-c15-w32_
chr14	37629691	37660894	31204	BLM/RECQL5	381854	2.1%	39	blm_recq5-2-single-c15-w32_
chr22	23270642	23305562	34921	BLM/RECQL5	381854	2.1%	39	blm_recq5-2-single-c15-w32_
chr1	160963906	161126319	162414	BLM/RECQL5	160704	2.8%	19	blm_recq5-2-single-c15-w41_
chr3	49599955	49798419	198465	BLM/RECQL5	160704	2.8%	19	blm_recq5-2-single-c15-w41_
chr3	121115474	121338304	222831	BLM/RECQL5	160704	2.8%	19	blm_recq5-2-single-c15-w41_
chr4	90709053	90911703	202651	BLM/RECQL5	160704	2.8%	19	blm_recq5-2-single-c15-w41_
chr8	26395322	26608681	213360	BLM/RECQL5	160704	2.8%	19	blm_recq5-2-single-c15-w41_
chr10	113657644	113802283	144640	BLM/RECQL5	160704	2.8%	19	blm_recq5-2-single-c15-w41_
chr2	110883397	111136568	253172	BLM/RECQL5	437118	2.3%	45	blm_recq5-2-single-c15-w42_
chr6	32459855	32588952	129098	BLM/RECQL5	437118	2.3%	45	blm_recq5-2-single-c15-w42_
chr6	53051633	53083650	32018	BLM/RECQL5	437118	2.3%	45	blm_recq5-2-single-c15-w42_
chr7	80839047	80858790	19744	BLM/RECQL5	437118	2.3%	45	blm_recq5-2-single-c15-w42_
chr7	150697594	150749457	51864	BLM/RECQL5	437118	2.3%	45	blm_recq5-2-single-c15-w42_
chr8	34054114	34090901	36788	BLM/RECQL5	437118	2.3%	45	blm_recq5-2-single-c15-w42_
chr8	37130962	37131418	457	BLM/RECQL5	437118	2.3%	45	blm_recq5-2-single-c15-w42_
chr8	135647057	135673325	26269	BLM/RECQL5	437118	2.3%	45	blm_recq5-2-single-c15-w42_
chr8	139062180	139082583	20404	BLM/RECQL5	437118	2.3%	45	blm_recq5-2-single-c15-w42_
chr9	130782162	130815910	33749	BLM/RECQL5	437118	2.3%	45	blm_recq5-2-single-c15-w42_
chr11	34861893	34918735	56843	BLM/RECQL5	437118	2.3%	45	blm_recq5-2-single-c15-w42_
chr13	110854252	110857127	2876	BLM/RECQL5	437118	2.3%	45	blm_recq5-2-single-c15-w42_
chr22	23273300	23299938	26639	BLM/RECQL5	437118	2.3%	45	blm_recq5-2-single-c15-w42_
chr1	228164596	228171178	6583	BLM/RECQL5	1768810	1.4%	177	blm_recq5-2-single-c15-w8_
chr9	130804009	130819918	15910	BLM/RECQL5	1768810	1.4%	177	blm_recq5-2-single-c15-w8_
chr12	22826485	22837400	10916	BLM/RECQL5	1768810	1.4%	177	blm_recq5-2-single-c15-w8_
chr13	69649761	69665866	16106	BLM/RECQL5	1768810	1.4%	177	blm_recq5-2-single-c15-w8_
chr19	3626896	3674178	47283	BLM/RECQL5	1768810	1.4%	177	blm_recq5-2-single-c15-w8_
chr22	23288468	23295585	7118	BLM/RECQL5	1768810	1.4%	177	blm_recq5-2-single-c15-w8_
chr22	24443754	24446092	2339	BLM/RECQL5	1768810	1.4%	177	blm_recq5-2-single-c15-w8_
chr22	34348967	34365103	16137	BLM/RECQL5	1768810	1.4%	177	blm_recq5-2-single-c15-w8_
chr2	42836031	42867345	31315	BLM/RECQL5	422766	2.7%	40	blm_recq5-2-single-c16-w12_
chr3	148617254	148683212	65959	BLM/RECQL5	422766	2.7%	40	blm_recq5-2-single-c16-w12_
chr10	107846899	107890438	43540	BLM/RECQL5	422766	2.7%	40	blm_recq5-2-single-c16-w12_
chr11	110426025	110441754	15730	BLM/RECQL5	422766	2.7%	40	blm_recq5-2-single-c16-w12_
chr14	36872347	36928366	56020	BLM/RECQL5	422766	2.7%	40	blm_recq5-2-single-c16-w12_
chr17	78714076	78723396	9321	BLM/RECQL5	422766	2.7%	40	blm_recq5-2-single-c16-w12_
chrX	114164753	114342976	178224	BLM/RECQL5	422766	2.7%	40	blm_recq5-2-single-c16-w12_
chr2	116573336	116599753	26418	BLM/RECQL5	989572	2.2%	103	blm_recq5-2-single-c16-w15_
chr2	225991112	226008033	16922	BLM/RECQL5	989572	2.2%	103	blm_recq5-2-single-c16-w15_
chr5	59371265	59390734	19470	BLM/RECQL5	989572	2.2%	103	blm_recq5-2-single-c16-w15_
chr6	78563085	78581993	18909	BLM/RECQL5	989572	2.2%	103	blm_recq5-2-single-c16-w15_
chr6	83197052	83205241	8190	BLM/RECQL5	989572	2.2%	103	blm_recq5-2-single-c16-w15_
chr8	2817609	2862550	44942	BLM/RECQL5	989572	2.2%	103	blm_recq5-2-single-c16-w15_
chr8	4789442	4799871	10430	BLM/RECQL5	989572	2.2%	103	blm_recq5-2-single-c16-w15_
chr11	15207613	15209155	1543	BLM/RECQL5	989572	2.2%	103	blm_recq5-2-single-c16-w15_
chr12	78968987	78995347	26361	BLM/RECQL5	989572	2.2%	103	blm_recq5-2-single-c16-w15_
chr12	104314077	104357485	43409	BLM/RECQL5	989572	2.2%	103	blm_recq5-2-single-c16-w15_
chr16	54861599	54885960	24362	BLM/RECQL5	989572	2.2%	103	blm_recq5-2-single-c16-w15_
chr16	78752139	78781497	29359	BLM/RECQL5	989572	2.2%	103	blm_recq5-2-single-c16-w15_
chr1	109528109	109566327	38219	BLM/RECQL5	350266	2.3%	36	blm_recq5-2-single-c16-w16_
chr2	174798977	174838235	39259	BLM/RECQL5	350266	2.3%	36	blm_recq5-2-single-c16-w16_
chr2	186007988	186097865	89878	BLM/RECQL5	350266	2.3%	36	blm_recq5-2-single-c16-w16_
chr5	29417942	29433485	15544	BLM/RECQL5	350266	2.3%	36	blm_recq5-2-single-c16-w16_
chr7	75646245	75656813	10569	BLM/RECQL5	350266	2.3%	36	blm_recq5-2-single-c16-w16_
chr8	117101326	117111430	10105	BLM/RECQL5	350266	2.3%	36	blm_recq5-2-single-c16-w16_
chr9	68633819	68772289	138471	BLM/RECQL5	350266	2.3%	36	blm_recq5-2-single-c16-w16_
chr10	41832712	41904653	71942	BLM/RECQL5	350266	2.3%	36	blm_recq5-2-single-c16-w16_
chr19	3415191	3426159	10969	BLM/RECQL5	350266	2.3%	36	blm_recq5-2-single-c16-w16_
chr1	12453264	12473000	19737	BLM/RECQL5	468040	2.4%	45	blm_recq5-2-single-c16-w18_
chr2	34597042	34679833	82792	BLM/RECQL5	468040	2.4%	45	blm_recq5-2-single-c16-w18_
chr5	161256430	161298610	42181	BLM/RECQL5	468040	2.4%	45	blm_recq5-2-single-c16-w18_
chr5	170743600	170747583	3984	BLM/RECQL5	468040	2.4%	45	blm_recq5-2-single-c16-w18_
chr9	130802011	130927279	125269	BLM/RECQL5	468040	2.4%	45	blm_recq5-2-single-c16-w18_
chr12	59571291	60596979	1025689	BLM/RECQL5	468040	2.4%	45	blm_recq5-2-single-c16-w18_
chr16	78732127	78814651	82525	BLM/RECQL5	468040	2.4%	45	blm_recq5-2-single-c16-w18_
chr17	46291615	46711973	420359	BLM/RECQL5	468040	2.4%	45	blm_recq5-2-single-c16-w18_
chr18	8699538	9631411	931874	BLM/RECQL5	468040	2.4%	45	blm_recq5-2-single-c16-w18_
chr18	11593183	13102914	1509732	BLM/RECQL5	468040	2.4%	45	blm_recq5-2-single-c16-w18_
chr21	15196694	15385935	189242	BLM/RECQL5	468040	2.4%	45	blm_recq5-2-single-c16-w18_
chr22	23287618	23290547	2930	BLM/RECQL5	468040	2.4%	45	blm_recq5-2-single-c16-w18_
chrX	39164398	39200786	36389	BLM/RECQL5	468040	2.4%	45	blm_recq5-2-single-c16-w18_
chrX	66718399	66765708	47310	BLM/RECQL5	468040	2.4%	45	blm_recq5-2-single-c16-w18_
chr1	187299565	187468116	168552	BLM/RECQL5	261674	3.2%	24	blm_recq5-2-single-c16-w19_
chr3	64630678	64734343	103666	BLM/RECQL5	261674	3.2%	24	blm_recq5-2-single-c16-w19_
chr3	87579583	87680246	100664	BLM/RECQL5	261674	3.2%	24	blm_recq5-2-single-c16-w19_
chr4	36429902	36637305	207404	BLM/RECQL5	261674	3.2%	24	blm_recq5-2-single-c16-w19_
chr4	72818781	72852681	33901	BLM/RECQL5	261674	3.2%	24	blm_recq5-2-single-c16-w19_
chr10	108064863	108111238	46376	BLM/RECQL5	261674	3.2%	24	blm_recq5-2-single-c16-w19_
chr19	48271444	48354643	83200	BLM/RECQL5	261674	3.2%	24	blm_recq5-2-single-c16-w19_
chr1	224356852	224443466	86615	BLM/RECQL5	575888	2.2%	58	blm_recq5-2-single-c16-w21_
chr2	104648159	104683562	35404	BLM/RECQL5	575888	2.2%	58	blm_recq5-2-single-c16-w21_
chr2	218164117	218190136	26020	BLM/RECQL5	575888	2.2%	58	blm_recq5-2-single-c16-w21_
chr3	156780556	156846905	66350	BLM/RECQL5	575888	2.2%	58	blm_recq5-2-single-c16-w21_
chr3	185584453	185596814	12362	BLM/RECQL5	575888	2.2%	58	blm_recq5-2-single-c16-w21_
chr4	111445037	111455848	10812	BLM/RECQL5	575888	2.2%	58	blm_recq5-2-single-c16-w21_
chr5	147615985	147654578	38594	BLM/RECQL5	575888	2.2%	58	blm_recq5-2-single-c16-w21_
chr7	143473279	143730899	257621	BLM/RECQL5	575888	2.2%	58	blm_recq5-2-single-c16-w21_
chr8	68570511	68575107	4597	BLM/RECQL5	575888	2.2%	58	blm_recq5-2-single-c16-w21_
chr9	14705013	14713849	8837	BLM/RECQL5	575888	2.2%	58	blm_recq5-2-single-c16-w21_
chr9	26608887	26637255	28369	BLM/RECQL5	575888	2.2%	58	blm_recq5-2-single-c16-w21_
chr9	130788466	130838179	49714	BLM/RECQL5	575888	2.2%	58	blm_recq5-2-single-c16-w21_
chr14	27357015	27462050	105036	BLM/RECQL5	575888	2.2%	58	blm_recq5-2-single-c16-w21_
chr15	31112776	31141105	28330	BLM/RECQL5	575888	2.2%	58	blm_recq5-2-single-c16-w21_
chr17	48915740	48929437	13698	BLM/RECQL5	575888	2.2%	58	blm_recq5-2-single-c16-w21_
chr21	21477544	21479398	1855	BLM/RECQL5	575888	2.2%	58	blm_recq5-2-single-c16-w21_
chrX	26911007	26925013	14007	BLM/RECQL5	575888	2.2%	58	blm_recq5-2-single-c16-w21_
chr3	67191526	67233045	41520	BLM/RECQL5	557920	3.1%	56	blm_recq5-2-single-c16-w22_
chr4	52397285	52440385	43101	BLM/RECQL5	557920	3.1%	56	blm_recq5-2-single-c16-w22_
chr4	90311252	90380641	69390	BLM/RECQL5	557920	3.1%	56	blm_recq5-2-single-c16-w22_
chr6	128643939	128654619	10681	BLM/RECQL5	557920	3.1%	56	blm_recq5-2-single-c16-w22_
chr7	71378193	72626344	1248152	BLM/RECQL5	557920	3.1%	56	blm_recq5-2-single-c16-w22_
chr9	130764095	130811321	47227	BLM/RECQL5	557920	3.1%	56	blm_recq5-2-single-c16-w22_
chr13	76379938	76392575	12638	BLM/RECQL5	557920	3.1%	56	blm_recq5-2-single-c16-w22_
chr14	95318347	95355395	37049	BLM/RECQL5	557920	3.1%	56	blm_recq5-2-single-c16-w22_
chr18	58080387	58119853	39467	BLM/RECQL5	557920	3.1%	56	blm_recq5-2-single-c16-w22_
chr18	73025363	73086620	61258	BLM/RECQL5	557920	3.1%	56	blm_recq5-2-single-c16-w22_
chr22	23276648	23290373	13726	BLM/RECQL5	557920	3.1%	56	blm_recq5-2-single-c16-w22_
chrX	136254447	136390670	136224	BLM/RECQL5	557920	3.1%	56	blm_recq5-2-single-c16-w22_
chr4	61045603	61078176	32574	BLM/RECQL5	993666	1.8%	99	blm_recq5-2-single-c16-w26_
chr5	136788764	136799618	10855	BLM/RECQL5	993666	1.8%	99	blm_recq5-2-single-c16-w26_
chr7	99416872	99448838	31967	BLM/RECQL5	993666	1.8%	99	blm_recq5-2-single-c16-w26_
chr9	130803402	130811202	7801	BLM/RECQL5	993666	1.8%	99	blm_recq5-2-single-c16-w26_
chr16	24588590	24611819	23230	BLM/RECQL5	993666	1.8%	99	blm_recq5-2-single-c16-w26_
chr16	78685161	78733354	48194	BLM/RECQL5	993666	1.8%	99	blm_recq5-2-single-c16-w26_
chr21	39679783	39692521	12739	BLM/RECQL5	993666	1.8%	99	blm_recq5-2-single-c16-w26_
chr22	23287684	23296684	9001	BLM/RECQL5	993666	1.8%	99	blm_recq5-2-single-c16-w26_
chr1	116288586	116419413	130828	BLM/RECQL5	245196	2.3%	30	blm_recq5-2-single-c16-w28_
chr3	129943599	129997816	54218	BLM/RECQL5	245196	2.3%	30	blm_recq5-2-single-c16-w28_
chr4	70144228	70173674	29447	BLM/RECQL5	245196	2.3%	30	blm_recq5-2-single-c16-w28_
chr8	40489203	40502845	13643	BLM/RECQL5	245196	2.3%	30	blm_recq5-2-single-c16-w28_
chr8	115970901	116033665	62765	BLM/RECQL5	245196	2.3%	30	blm_recq5-2-single-c16-w28_
chr9	68619793	69187158	567366	BLM/RECQL5	245196	2.3%	30	blm_recq5-2-single-c16-w28_
chr11	16903361	16916280	12920	BLM/RECQL5	245196	2.3%	30	blm_recq5-2-single-c16-w28_
chr19	24341047	27363236	3022190	BLM/RECQL5	245196	2.3%	30	blm_recq5-2-single-c16-w28_
chrX	35710662	35759859	49198	BLM/RECQL5	245196	2.3%	30	blm_recq5-2-single-c16-w28_
chr2	233730898	233743380	12483	BLM/RECQL5	1022510	1.5%	115	blm_recq5-2-single-c16-w29_
chr6	8875657	8891913	16257	BLM/RECQL5	1022510	1.5%	115	blm_recq5-2-single-c16-w29_
chr6	82444826	82474963	30138	BLM/RECQL5	1022510	1.5%	115	blm_recq5-2-single-c16-w29_
chr9	130779177	130807249	28073	BLM/RECQL5	1022510	1.5%	115	blm_recq5-2-single-c16-w29_
chr22	23290103	23291961	1859	BLM/RECQL5	1022510	1.5%	115	blm_recq5-2-single-c16-w29_
chr2	107821132	107969732	148601	BLM/RECQL5	353990	2.4%	36	blm_recq5-2-single-c16-w32_
chr3	37899678	37928823	29146	BLM/RECQL5	353990	2.4%	36	blm_recq5-2-single-c16-w32_
chr5	175002226	175090270	88045	BLM/RECQL5	353990	2.4%	36	blm_recq5-2-single-c16-w32_
chr7	12570252	12585299	15048	BLM/RECQL5	353990	2.4%	36	blm_recq5-2-single-c16-w32_
chr7	79511832	79560360	48529	BLM/RECQL5	353990	2.4%	36	blm_recq5-2-single-c16-w32_
chr9	104185108	104204630	19523	BLM/RECQL5	353990	2.4%	36	blm_recq5-2-single-c16-w32_
chr13	75573946	75577639	3694	BLM/RECQL5	353990	2.4%	36	blm_recq5-2-single-c16-w32_
chr1	101411115	101434975	23861	BLM/RECQL5	531938	2.5%	55	blm_recq5-2-single-c16-w33_
chr1	154673036	154712120	39085	BLM/RECQL5	531938	2.5%	55	blm_recq5-2-single-c16-w33_
chr2	234820902	234881759	60858	BLM/RECQL5	531938	2.5%	55	blm_recq5-2-single-c16-w33_
chr7	70303202	70340815	37614	BLM/RECQL5	531938	2.5%	55	blm_recq5-2-single-c16-w33_
chr9	130790459	130807274	16816	BLM/RECQL5	531938	2.5%	55	blm_recq5-2-single-c16-w33_
chr11	132365930	132370823	4894	BLM/RECQL5	531938	2.5%	55	blm_recq5-2-single-c16-w33_
chr18	45671366	45752750	81385	BLM/RECQL5	531938	2.5%	55	blm_recq5-2-single-c16-w33_
chr18	63040782	63056982	16201	BLM/RECQL5	531938	2.5%	55	blm_recq5-2-single-c16-w33_
chr21	42795994	42804199	8206	BLM/RECQL5	531938	2.5%	55	blm_recq5-2-single-c16-w33_
chr22	23264404	23291318	26915	BLM/RECQL5	531938	2.5%	55	blm_recq5-2-single-c16-w33_
chr2	125011933	125051849	39917	BLM/RECQL5	438546	2.5%	46	blm_recq5-2-single-c16-w34_
chr8	143762222	143786568	24347	BLM/RECQL5	438546	2.5%	46	blm_recq5-2-single-c16-w34_
chr9	130785642	130813706	28065	BLM/RECQL5	438546	2.5%	46	blm_recq5-2-single-c16-w34_
chr10	64413681	64470870	57190	BLM/RECQL5	438546	2.5%	46	blm_recq5-2-single-c16-w34_
chr17	50890430	50926581	36152	BLM/RECQL5	438546	2.5%	46	blm_recq5-2-single-c16-w34_
chr20	24291312	25288771	997460	BLM/RECQL5	438546	2.5%	46	blm_recq5-2-single-c16-w34_
chr22	23289106	23311734	22629	BLM/RECQL5	438546	2.5%	46	blm_recq5-2-single-c16-w34_
chr2	142399382	142425687	26306	BLM/RECQL5	664108	2.7%	66	blm_recq5-2-single-c16-w35_
chr3	98806779	98848330	41552	BLM/RECQL5	664108	2.7%	66	blm_recq5-2-single-c16-w35_
chr3	119694584	119697007	2424	BLM/RECQL5	664108	2.7%	66	blm_recq5-2-single-c16-w35_
chr6	92229119	92262156	33038	BLM/RECQL5	664108	2.7%	66	blm_recq5-2-single-c16-w35_
chr6	163965938	164032979	67042	BLM/RECQL5	664108	2.7%	66	blm_recq5-2-single-c16-w35_
chr7	135950896	135960995	10100	BLM/RECQL5	664108	2.7%	66	blm_recq5-2-single-c16-w35_
chr7	141666908	141683545	16638	BLM/RECQL5	664108	2.7%	66	blm_recq5-2-single-c16-w35_
chr8	2710458	2765306	54849	BLM/RECQL5	664108	2.7%	66	blm_recq5-2-single-c16-w35_
chr8	4613843	4615049	1207	BLM/RECQL5	664108	2.7%	66	blm_recq5-2-single-c16-w35_
chr8	117287497	117298723	11227	BLM/RECQL5	664108	2.7%	66	blm_recq5-2-single-c16-w35_
chr8	118812289	118814572	2284	BLM/RECQL5	664108	2.7%	66	blm_recq5-2-single-c16-w35_
chr8	135076011	135100765	24755	BLM/RECQL5	664108	2.7%	66	blm_recq5-2-single-c16-w35_
chr8	138759841	138775733	15893	BLM/RECQL5	664108	2.7%	66	blm_recq5-2-single-c16-w35_
chr9	68932140	69020685	88546	BLM/RECQL5	664108	2.7%	66	blm_recq5-2-single-c16-w35_
chr14	75118289	75200848	82560	BLM/RECQL5	664108	2.7%	66	blm_recq5-2-single-c16-w35_
