seqnames start end width gene Reads Background ReadsPerMb Library
chr22 28462226 28569610 107385 BLM 107868 3.3% 17 fucci_blm_c14_w29_single_3e8_S240_
chr1 162321597 162326478 4882 BLM 3799570 0.7% 434 fucci_blm_c14_w31_single_3e8_S241_
chr1 214146757 214149132 2376 BLM 3799570 0.7% 434 fucci_blm_c14_w31_single_3e8_S241_
chr2 175767200 175769300 2101 BLM 3799570 0.7% 434 fucci_blm_c14_w31_single_3e8_S241_
chr5 25715798 25726751 10954 BLM 3799570 0.7% 434 fucci_blm_c14_w31_single_3e8_S241_
chr5 59568268 59571600 3333 BLM 3799570 0.7% 434 fucci_blm_c14_w31_single_3e8_S241_
chr5 72710553 72712435 1883 BLM 3799570 0.7% 434 fucci_blm_c14_w31_single_3e8_S241_
chr6 89988383 89993561 5179 BLM 3799570 0.7% 434 fucci_blm_c14_w31_single_3e8_S241_
chr6 120919210 120922976 3767 BLM 3799570 0.7% 434 fucci_blm_c14_w31_single_3e8_S241_
chr7 118960057 118965564 5508 BLM 3799570 0.7% 434 fucci_blm_c14_w31_single_3e8_S241_
chr8 24677610 24678985 1376 BLM 3799570 0.7% 434 fucci_blm_c14_w31_single_3e8_S241_
chr8 72125799 72127448 1650 BLM 3799570 0.7% 434 fucci_blm_c14_w31_single_3e8_S241_
chr8 136597339 136601100 3762 BLM 3799570 0.7% 434 fucci_blm_c14_w31_single_3e8_S241_
chr8 137740237 137742499 2263 BLM 3799570 0.7% 434 fucci_blm_c14_w31_single_3e8_S241_
chr9 36566240 67398309 30832070 BLM 3799570 0.7% 434 fucci_blm_c14_w31_single_3e8_S241_
chr11 40971117 40978112 6996 BLM 3799570 0.7% 434 fucci_blm_c14_w31_single_3e8_S241_
chr11 76302454 76302467 14 BLM 3799570 0.7% 434 fucci_blm_c14_w31_single_3e8_S241_
chr11 122535969 122537550 1582 BLM 3799570 0.7% 434 fucci_blm_c14_w31_single_3e8_S241_
chr14 34214253 34512303 298051 BLM 3799570 0.7% 434 fucci_blm_c14_w31_single_3e8_S241_
chr14 34563369 34921227 357859 BLM 3799570 0.7% 434 fucci_blm_c14_w31_single_3e8_S241_
chr15 60811438 60811734 297 BLM 3799570 0.7% 434 fucci_blm_c14_w31_single_3e8_S241_
chr15 72634619 72644756 10138 BLM 3799570 0.7% 434 fucci_blm_c14_w31_single_3e8_S241_
chr15 74108347 74108893 547 BLM 3799570 0.7% 434 fucci_blm_c14_w31_single_3e8_S241_
chr15 89348399 89348647 249 BLM 3799570 0.7% 434 fucci_blm_c14_w31_single_3e8_S241_
chr16 14467416 14640554 173139 BLM 3799570 0.7% 434 fucci_blm_c14_w31_single_3e8_S241_
chr16 15327610 15653084 325475 BLM 3799570 0.7% 434 fucci_blm_c14_w31_single_3e8_S241_
chr16 21582846 21594041 11196 BLM 3799570 0.7% 434 fucci_blm_c14_w31_single_3e8_S241_
chr16 22692627 22703725 11099 BLM 3799570 0.7% 434 fucci_blm_c14_w31_single_3e8_S241_
chr22 20814743 21165852 351110 BLM 3799570 0.7% 434 fucci_blm_c14_w31_single_3e8_S241_
chr22 21561214 21895596 334383 BLM 3799570 0.7% 434 fucci_blm_c14_w31_single_3e8_S241_
chrX 103689015 103993425 304411 BLM 3799570 0.7% 434 fucci_blm_c14_w31_single_3e8_S241_
chrX 104047292 104393255 345964 BLM 3799570 0.7% 434 fucci_blm_c14_w31_single_3e8_S241_
chrX 149306044 149597277 291234 BLM 3799570 0.7% 434 fucci_blm_c14_w31_single_3e8_S241_
chrX 149720787 150051200 330414 BLM 3799570 0.7% 434 fucci_blm_c14_w31_single_3e8_S241_
chr1 240490782 240494317 3536 BLM 1372684 0.9% 194 fucci_blm_c14_w39_single_3e8_S245_
chr5 143337163 143338951 1789 BLM 1372684 0.9% 194 fucci_blm_c14_w39_single_3e8_S245_
chr7 54159350 54231309 71960 BLM 1372684 0.9% 194 fucci_blm_c14_w39_single_3e8_S245_
chr7 54307931 69577481 15269551 BLM 1372684 0.9% 194 fucci_blm_c14_w39_single_3e8_S245_
chr8 116753718 116782195 28478 BLM 1372684 0.9% 194 fucci_blm_c14_w39_single_3e8_S245_
chr11 47564787 54539750 6974964 BLM 1372684 0.9% 194 fucci_blm_c14_w39_single_3e8_S245_
chr12 57270250 57272278 2029 BLM 1372684 0.9% 194 fucci_blm_c14_w39_single_3e8_S245_
chr14 71158830 71178035 19206 BLM 1372684 0.9% 194 fucci_blm_c14_w39_single_3e8_S245_
chr15 66294897 66301992 7096 BLM 1372684 0.9% 194 fucci_blm_c14_w39_single_3e8_S245_
chr15 72578639 72587622 8984 BLM 1372684 0.9% 194 fucci_blm_c14_w39_single_3e8_S245_
chr15 74040927 74100741 59815 BLM 1372684 0.9% 194 fucci_blm_c14_w39_single_3e8_S245_
chr15 89346949 89351942 4994 BLM 1372684 0.9% 194 fucci_blm_c14_w39_single_3e8_S245_
chr16 21381089 21503745 122657 BLM 1372684 0.9% 194 fucci_blm_c14_w39_single_3e8_S245_
chr16 22678886 22687097 8212 BLM 1372684 0.9% 194 fucci_blm_c14_w39_single_3e8_S245_
chr19 24347205 24347991 787 BLM 1372684 0.9% 194 fucci_blm_c14_w39_single_3e8_S245_
chrX 88911738 88929489 17752 BLM 1372684 0.9% 194 fucci_blm_c14_w39_single_3e8_S245_
chr1 12797435 12836613 39179 BLM 5130778 1.0% 590 fucci_blm_c14_w5_single_3e8_S228_
chr1 13245926 13486080 240155 BLM 5130778 1.0% 590 fucci_blm_c14_w5_single_3e8_S228_
chr1 16415305 16499162 83858 BLM 5130778 1.0% 590 fucci_blm_c14_w5_single_3e8_S228_
chr1 16772088 16971081 198994 BLM 5130778 1.0% 590 fucci_blm_c14_w5_single_3e8_S228_
chr3 48610939 48613962 3024 BLM 5130778 1.0% 590 fucci_blm_c14_w5_single_3e8_S228_
chr4 156214167 156216183 2017 BLM 5130778 1.0% 590 fucci_blm_c14_w5_single_3e8_S228_
chr5 175875377 175928992 53616 BLM 5130778 1.0% 590 fucci_blm_c14_w5_single_3e8_S228_
chr5 176110325 176181458 71134 BLM 5130778 1.0% 590 fucci_blm_c14_w5_single_3e8_S228_
chr6 382098 400373 18276 BLM 5130778 1.0% 590 fucci_blm_c14_w5_single_3e8_S228_
chr7 54004783 54123334 118552 BLM 5130778 1.0% 590 fucci_blm_c14_w5_single_3e8_S228_
chr7 54319096 54459883 140788 BLM 5130778 1.0% 590 fucci_blm_c14_w5_single_3e8_S228_
chr8 72125464 72125875 412 BLM 5130778 1.0% 590 fucci_blm_c14_w5_single_3e8_S228_
chr9 18128230 18140360 12131 BLM 5130778 1.0% 590 fucci_blm_c14_w5_single_3e8_S228_
chr9 18152443 18156634 4192 BLM 5130778 1.0% 590 fucci_blm_c14_w5_single_3e8_S228_
chr9 36302425 67407644 31105220 BLM 5130778 1.0% 590 fucci_blm_c14_w5_single_3e8_S228_
chr9 68278355 68618610 340256 BLM 5130778 1.0% 590 fucci_blm_c14_w5_single_3e8_S228_
chr9 94023651 94122193 98543 BLM 5130778 1.0% 590 fucci_blm_c14_w5_single_3e8_S228_
chr9 94138021 94240859 102839 BLM 5130778 1.0% 590 fucci_blm_c14_w5_single_3e8_S228_
chr12 17533732 17562784 29053 BLM 5130778 1.0% 590 fucci_blm_c14_w5_single_3e8_S228_
chr12 17855440 17884937 29498 BLM 5130778 1.0% 590 fucci_blm_c14_w5_single_3e8_S228_
chr15 60803610 60818773 15164 BLM 5130778 1.0% 590 fucci_blm_c14_w5_single_3e8_S228_
chr15 72630208 72630646 439 BLM 5130778 1.0% 590 fucci_blm_c14_w5_single_3e8_S228_
chr15 74068497 74072677 4181 BLM 5130778 1.0% 590 fucci_blm_c14_w5_single_3e8_S228_
chr15 89349560 89350001 442 BLM 5130778 1.0% 590 fucci_blm_c14_w5_single_3e8_S228_
chr16 14618492 14632825 14334 BLM 5130778 1.0% 590 fucci_blm_c14_w5_single_3e8_S228_
chr16 15326397 15387168 60772 BLM 5130778 1.0% 590 fucci_blm_c14_w5_single_3e8_S228_
chr16 21397192 21511856 114665 BLM 5130778 1.0% 590 fucci_blm_c14_w5_single_3e8_S228_
chr16 21525428 21527854 2427 BLM 5130778 1.0% 590 fucci_blm_c14_w5_single_3e8_S228_
chr16 22674309 22674371 63 BLM 5130778 1.0% 590 fucci_blm_c14_w5_single_3e8_S228_
chr16 28261289 28462000 200712 BLM 5130778 1.0% 590 fucci_blm_c14_w5_single_3e8_S228_
chr16 28963564 28993452 29889 BLM 5130778 1.0% 590 fucci_blm_c14_w5_single_3e8_S228_
chr17 16501194 16754199 253006 BLM 5130778 1.0% 590 fucci_blm_c14_w5_single_3e8_S228_
chr17 16841745 17077332 235588 BLM 5130778 1.0% 590 fucci_blm_c14_w5_single_3e8_S228_
chr19 24361984 24897185 535202 BLM 5130778 1.0% 590 fucci_blm_c14_w5_single_3e8_S228_
chr19 27395897 27429249 33353 BLM 5130778 1.0% 590 fucci_blm_c14_w5_single_3e8_S228_
chr22 43735622 43741789 6168 BLM 5130778 1.0% 590 fucci_blm_c14_w5_single_3e8_S228_
chrX 92355204 92366289 11086 BLM 5130778 1.0% 590 fucci_blm_c14_w5_single_3e8_S228_
chr6 802514 874733 72220 BLM/RECQL5 2692572 0.7% 295 fucci_blm_recq5_c16_w11_single_3e8_S281_
chr9 130784026 130824964 40939 BLM/RECQL5 2692572 0.7% 295 fucci_blm_recq5_c16_w11_single_3e8_S281_
chr10 80930769 80937950 7182 BLM/RECQL5 2692572 0.7% 295 fucci_blm_recq5_c16_w11_single_3e8_S281_
chr12 79362049 79363177 1129 BLM/RECQL5 2692572 0.7% 295 fucci_blm_recq5_c16_w11_single_3e8_S281_
chr12 102605235 102608980 3746 BLM/RECQL5 2692572 0.7% 295 fucci_blm_recq5_c16_w11_single_3e8_S281_
chr13 99987871 99999288 11418 BLM/RECQL5 2692572 0.7% 295 fucci_blm_recq5_c16_w11_single_3e8_S281_
chr15 60808146 60812172 4027 BLM/RECQL5 2692572 0.7% 295 fucci_blm_recq5_c16_w11_single_3e8_S281_
chr15 72626910 72627094 185 BLM/RECQL5 2692572 0.7% 295 fucci_blm_recq5_c16_w11_single_3e8_S281_
chr15 74135922 74138210 2289 BLM/RECQL5 2692572 0.7% 295 fucci_blm_recq5_c16_w11_single_3e8_S281_
chr15 89346693 89349831 3139 BLM/RECQL5 2692572 0.7% 295 fucci_blm_recq5_c16_w11_single_3e8_S281_
chr16 21521410 21523240 1831 BLM/RECQL5 2692572 0.7% 295 fucci_blm_recq5_c16_w11_single_3e8_S281_
chr16 22649999 22677746 27748 BLM/RECQL5 2692572 0.7% 295 fucci_blm_recq5_c16_w11_single_3e8_S281_
chr22 23287415 23334467 47053 BLM/RECQL5 2692572 0.7% 295 fucci_blm_recq5_c16_w11_single_3e8_S281_
chr1 5638888 5675785 36898 BLM/RECQL5 1274250 1.8% 177 fucci_blm_recq5_c16_w23_single_3e8_S287_
chr1 6578036 6611535 33500 BLM/RECQL5 1274250 1.8% 177 fucci_blm_recq5_c16_w23_single_3e8_S287_
chr1 163815406 163824274 8869 BLM/RECQL5 1274250 1.8% 177 fucci_blm_recq5_c16_w23_single_3e8_S287_
chr1 172568438 172583323 14886 BLM/RECQL5 1274250 1.8% 177 fucci_blm_recq5_c16_w23_single_3e8_S287_
chr3 63271914 63308623 36710 BLM/RECQL5 1274250 1.8% 177 fucci_blm_recq5_c16_w23_single_3e8_S287_
chr6 132442066 132445394 3329 BLM/RECQL5 1274250 1.8% 177 fucci_blm_recq5_c16_w23_single_3e8_S287_
chr7 6491710 6515405 23696 BLM/RECQL5 1274250 1.8% 177 fucci_blm_recq5_c16_w23_single_3e8_S287_
chr8 34975851 34980867 5017 BLM/RECQL5 1274250 1.8% 177 fucci_blm_recq5_c16_w23_single_3e8_S287_
chr9 36522066 67400822 30878757 BLM/RECQL5 1274250 1.8% 177 fucci_blm_recq5_c16_w23_single_3e8_S287_
chr9 67823640 68483756 660117 BLM/RECQL5 1274250 1.8% 177 fucci_blm_recq5_c16_w23_single_3e8_S287_
chr10 7964751 7978294 13544 BLM/RECQL5 1274250 1.8% 177 fucci_blm_recq5_c16_w23_single_3e8_S287_
chr10 118928106 118931993 3888 BLM/RECQL5 1274250 1.8% 177 fucci_blm_recq5_c16_w23_single_3e8_S287_
chr12 24948999 24956523 7525 BLM/RECQL5 1274250 1.8% 177 fucci_blm_recq5_c16_w23_single_3e8_S287_
chr13 105571905 105589336 17432 BLM/RECQL5 1274250 1.8% 177 fucci_blm_recq5_c16_w23_single_3e8_S287_
chr15 60805790 60813040 7251 BLM/RECQL5 1274250 1.8% 177 fucci_blm_recq5_c16_w23_single_3e8_S287_
chr15 72606750 72673756 67007 BLM/RECQL5 1274250 1.8% 177 fucci_blm_recq5_c16_w23_single_3e8_S287_
chr15 74067375 74115944 48570 BLM/RECQL5 1274250 1.8% 177 fucci_blm_recq5_c16_w23_single_3e8_S287_
chr15 89907810 89921283 13474 BLM/RECQL5 1274250 1.8% 177 fucci_blm_recq5_c16_w23_single_3e8_S287_
chr16 21361082 21499210 138129 BLM/RECQL5 1274250 1.8% 177 fucci_blm_recq5_c16_w23_single_3e8_S287_
chr16 22699089 22702242 3154 BLM/RECQL5 1274250 1.8% 177 fucci_blm_recq5_c16_w23_single_3e8_S287_
chr18 71487921 71495919 7999 BLM/RECQL5 1274250 1.8% 177 fucci_blm_recq5_c16_w23_single_3e8_S287_
chr21 23120564 23122668 2105 BLM/RECQL5 1274250 1.8% 177 fucci_blm_recq5_c16_w23_single_3e8_S287_
chrX 115478377 115482854 4478 BLM/RECQL5 1274250 1.8% 177 fucci_blm_recq5_c16_w23_single_3e8_S287_
chr1 16330328 16378906 48579 BLM/RECQL5 1455124 1.3% 208 fucci_blm_recq5_c16_w27_single_3e8_S289_
chr1 16779605 17198717 419113 BLM/RECQL5 1455124 1.3% 208 fucci_blm_recq5_c16_w27_single_3e8_S289_
chr2 99132856 99133979 1124 BLM/RECQL5 1455124 1.3% 208 fucci_blm_recq5_c16_w27_single_3e8_S289_
chr7 90778321 90789274 10954 BLM/RECQL5 1455124 1.3% 208 fucci_blm_recq5_c16_w27_single_3e8_S289_
chr9 130805438 130810599 5162 BLM/RECQL5 1455124 1.3% 208 fucci_blm_recq5_c16_w27_single_3e8_S289_
chr12 1735281 1758377 23097 BLM/RECQL5 1455124 1.3% 208 fucci_blm_recq5_c16_w27_single_3e8_S289_
chr13 55499732 55505877 6146 BLM/RECQL5 1455124 1.3% 208 fucci_blm_recq5_c16_w27_single_3e8_S289_
chr15 72671760 72678562 6803 BLM/RECQL5 1455124 1.3% 208 fucci_blm_recq5_c16_w27_single_3e8_S289_
chr15 74015852 74024200 8349 BLM/RECQL5 1455124 1.3% 208 fucci_blm_recq5_c16_w27_single_3e8_S289_
chr16 21209848 21509513 299666 BLM/RECQL5 1455124 1.3% 208 fucci_blm_recq5_c16_w27_single_3e8_S289_
chr16 22698395 22823569 125175 BLM/RECQL5 1455124 1.3% 208 fucci_blm_recq5_c16_w27_single_3e8_S289_
chr16 28535989 28538425 2437 BLM/RECQL5 1455124 1.3% 208 fucci_blm_recq5_c16_w27_single_3e8_S289_
chr19 27340428 27349141 8714 BLM/RECQL5 1455124 1.3% 208 fucci_blm_recq5_c16_w27_single_3e8_S289_
chr19 27398985 27849903 450919 BLM/RECQL5 1455124 1.3% 208 fucci_blm_recq5_c16_w27_single_3e8_S289_
chr22 23289553 23303454 13902 BLM/RECQL5 1455124 1.3% 208 fucci_blm_recq5_c16_w27_single_3e8_S289_
chrX 19144144 19149329 5186 BLM/RECQL5 1455124 1.3% 208 fucci_blm_recq5_c16_w27_single_3e8_S289_
chr1 119747500 152327634 32580135 BLM/RECQL5 182180 1.4% 29 fucci_blm_recq5_c16_w29_single_3e8_S290_
chr1 169711319 169856855 145537 BLM/RECQL5 182180 1.4% 29 fucci_blm_recq5_c16_w29_single_3e8_S290_
chr2 79909180 79946382 37203 BLM/RECQL5 182180 1.4% 29 fucci_blm_recq5_c16_w29_single_3e8_S290_
chr2 145227922 145273641 45720 BLM/RECQL5 182180 1.4% 29 fucci_blm_recq5_c16_w29_single_3e8_S290_
chr3 108064290 108184391 120102 BLM/RECQL5 182180 1.4% 29 fucci_blm_recq5_c16_w29_single_3e8_S290_
chr3 119845442 119915479 70038 BLM/RECQL5 182180 1.4% 29 fucci_blm_recq5_c16_w29_single_3e8_S290_
chr3 177613681 177616122 2442 BLM/RECQL5 182180 1.4% 29 fucci_blm_recq5_c16_w29_single_3e8_S290_
chr3 191553351 191564576 11226 BLM/RECQL5 182180 1.4% 29 fucci_blm_recq5_c16_w29_single_3e8_S290_
chr4 70509141 70576530 67390 BLM/RECQL5 182180 1.4% 29 fucci_blm_recq5_c16_w29_single_3e8_S290_
chr4 183015173 183033292 18120 BLM/RECQL5 182180 1.4% 29 fucci_blm_recq5_c16_w29_single_3e8_S290_
chr5 137139620 137158295 18676 BLM/RECQL5 182180 1.4% 29 fucci_blm_recq5_c16_w29_single_3e8_S290_
chr5 161227616 161292380 64765 BLM/RECQL5 182180 1.4% 29 fucci_blm_recq5_c16_w29_single_3e8_S290_
chr6 121225194 121503865 278672 BLM/RECQL5 182180 1.4% 29 fucci_blm_recq5_c16_w29_single_3e8_S290_
chr7 54558536 68667098 14108563 BLM/RECQL5 182180 1.4% 29 fucci_blm_recq5_c16_w29_single_3e8_S290_
chr7 83009110 83083554 74445 BLM/RECQL5 182180 1.4% 29 fucci_blm_recq5_c16_w29_single_3e8_S290_
chr8 11584791 11652241 67451 BLM/RECQL5 182180 1.4% 29 fucci_blm_recq5_c16_w29_single_3e8_S290_
chr9 17824531 17865004 40474 BLM/RECQL5 182180 1.4% 29 fucci_blm_recq5_c16_w29_single_3e8_S290_
chr9 129399043 129415815 16773 BLM/RECQL5 182180 1.4% 29 fucci_blm_recq5_c16_w29_single_3e8_S290_
chr10 26057644 26079681 22038 BLM/RECQL5 182180 1.4% 29 fucci_blm_recq5_c16_w29_single_3e8_S290_
chr12 46387120 46430663 43544 BLM/RECQL5 182180 1.4% 29 fucci_blm_recq5_c16_w29_single_3e8_S290_
chr13 104149508 104259980 110473 BLM/RECQL5 182180 1.4% 29 fucci_blm_recq5_c16_w29_single_3e8_S290_
chr18 38960829 39015881 55053 BLM/RECQL5 182180 1.4% 29 fucci_blm_recq5_c16_w29_single_3e8_S290_
chr22 24858299 25063233 204935 BLM/RECQL5 182180 1.4% 29 fucci_blm_recq5_c16_w29_single_3e8_S290_
chrX 7543064 7569891 26828 BLM/RECQL5 182180 1.4% 29 fucci_blm_recq5_c16_w29_single_3e8_S290_
chrX 47954718 48027656 72939 BLM/RECQL5 182180 1.4% 29 fucci_blm_recq5_c16_w29_single_3e8_S290_
chrX 149098853 149110276 11424 BLM/RECQL5 182180 1.4% 29 fucci_blm_recq5_c16_w29_single_3e8_S290_
chr1 163956215 163974662 18448 BLM/RECQL5 1249576 1.2% 175 fucci_blm_recq5_c16_w37_single_3e8_S294_
chr2 45490582 45519880 29299 BLM/RECQL5 1249576 1.2% 175 fucci_blm_recq5_c16_w37_single_3e8_S294_
chr2 205727676 205747887 20212 BLM/RECQL5 1249576 1.2% 175 fucci_blm_recq5_c16_w37_single_3e8_S294_
chr3 75035367 75042467 7101 BLM/RECQL5 1249576 1.2% 175 fucci_blm_recq5_c16_w37_single_3e8_S294_
chr4 37469491 37478589 9099 BLM/RECQL5 1249576 1.2% 175 fucci_blm_recq5_c16_w37_single_3e8_S294_
chr6 43480187 43481015 829 BLM/RECQL5 1249576 1.2% 175 fucci_blm_recq5_c16_w37_single_3e8_S294_
chr6 137387667 137401356 13690 BLM/RECQL5 1249576 1.2% 175 fucci_blm_recq5_c16_w37_single_3e8_S294_
chr8 117714035 117718370 4336 BLM/RECQL5 1249576 1.2% 175 fucci_blm_recq5_c16_w37_single_3e8_S294_
chr11 93444630 93445910 1281 BLM/RECQL5 1249576 1.2% 175 fucci_blm_recq5_c16_w37_single_3e8_S294_
chr12 102875331 102897670 22340 BLM/RECQL5 1249576 1.2% 175 fucci_blm_recq5_c16_w37_single_3e8_S294_
chr13 64148484 64157426 8943 BLM/RECQL5 1249576 1.2% 175 fucci_blm_recq5_c16_w37_single_3e8_S294_
chr14 80704208 80712958 8751 BLM/RECQL5 1249576 1.2% 175 fucci_blm_recq5_c16_w37_single_3e8_S294_
chr15 60800423 60811308 10886 BLM/RECQL5 1249576 1.2% 175 fucci_blm_recq5_c16_w37_single_3e8_S294_
chr15 79773230 79776665 3436 BLM/RECQL5 1249576 1.2% 175 fucci_blm_recq5_c16_w37_single_3e8_S294_
chr16 20855943 20860254 4312 BLM/RECQL5 1249576 1.2% 175 fucci_blm_recq5_c16_w37_single_3e8_S294_
chr16 22695743 22699876 4134 BLM/RECQL5 1249576 1.2% 175 fucci_blm_recq5_c16_w37_single_3e8_S294_
chr16 68746312 68755150 8839 BLM/RECQL5 1249576 1.2% 175 fucci_blm_recq5_c16_w37_single_3e8_S294_
chr17 58972222 58987243 15022 BLM/RECQL5 1249576 1.2% 175 fucci_blm_recq5_c16_w37_single_3e8_S294_
chr19 24377522 24381103 3582 BLM/RECQL5 1249576 1.2% 175 fucci_blm_recq5_c16_w37_single_3e8_S294_
chr19 24896688 27243189 2346502 BLM/RECQL5 1249576 1.2% 175 fucci_blm_recq5_c16_w37_single_3e8_S294_
chr2 149273534 149275697 2164 BLM/RECQL5 1412716 6.3% 200 fucci_blm_recq5_c16_w39_single_3e8_S295_
chr3 46875823 46895930 20108 BLM/RECQL5 1412716 6.3% 200 fucci_blm_recq5_c16_w39_single_3e8_S295_
chr3 70038690 70039449 760 BLM/RECQL5 1412716 6.3% 200 fucci_blm_recq5_c16_w39_single_3e8_S295_
chr4 3982651 4024196 41546 BLM/RECQL5 1412716 6.3% 200 fucci_blm_recq5_c16_w39_single_3e8_S295_
chr4 4107151 4122048 14898 BLM/RECQL5 1412716 6.3% 200 fucci_blm_recq5_c16_w39_single_3e8_S295_
chr7 5033263 5058118 24856 BLM/RECQL5 1412716 6.3% 200 fucci_blm_recq5_c16_w39_single_3e8_S295_
chr7 5090719 5092021 1303 BLM/RECQL5 1412716 6.3% 200 fucci_blm_recq5_c16_w39_single_3e8_S295_
chr8 3495399 3517338 21940 BLM/RECQL5 1412716 6.3% 200 fucci_blm_recq5_c16_w39_single_3e8_S295_
chr8 86117579 86129162 11584 BLM/RECQL5 1412716 6.3% 200 fucci_blm_recq5_c16_w39_single_3e8_S295_
chr8 125493782 125494410 629 BLM/RECQL5 1412716 6.3% 200 fucci_blm_recq5_c16_w39_single_3e8_S295_
chr8 143274620 143275497 878 BLM/RECQL5 1412716 6.3% 200 fucci_blm_recq5_c16_w39_single_3e8_S295_
